0 train f1,0 val f1,1 train f1,1 val f1,2 train f1,2 val f1,3 train f1,3 val f1,epoch,step,train multilabel_f1_macro,train ranking_avg_precision,train_loss,val multilabel_f1_macro,val ranking_avg_precision,val_loss
,0.6128702759742737,,0.5974358916282654,,0.8082191944122314,,0.8392857313156128,15,2767,,,,0.7144527435302734,0.6714559197425842,0.3158341348171234
0.6321983933448792,,0.627589225769043,,0.8721804618835449,,0.8765432238578796,,15,2767,0.7521278262138367,0.6958529353141785,0.30312278866767883,,,
,0.6156982779502869,,0.5925925970077515,,0.8194444179534912,,0.8392857313156128,16,2940,,,,0.7167552709579468,0.6726532578468323,0.3150217533111572
0.6503525376319885,,0.6168976426124573,,0.8700000047683716,,0.903030276298523,,16,2940,0.7600701451301575,0.701195240020752,0.3014506697654724,,,
,0.6333666443824768,,0.6000000238418579,,0.8251748085021973,,0.852173924446106,17,3113,,,,0.7276788353919983,0.679837167263031,0.3161175847053528
0.63986736536026,,0.6275374889373779,,0.868686854839325,,0.9009009003639221,,17,3113,0.7592481374740601,0.7017384767532349,0.3017507493495941,,,
,0.7444168925285339,,0.5709571242332458,,0.8082191944122314,,0.8318583965301514,18,3286,,,,0.7388628721237183,0.7356321811676025,0.2994319498538971
0.6497292518615723,,0.6316254138946533,,0.8737373948097229,,0.9063444137573242,,18,3286,0.765359103679657,0.7086200714111328,0.2990054488182068,,,
,0.6091476082801819,,0.6051660776138306,,0.8194444179534912,,0.8288288116455078,19,3459,,,,0.7156467437744141,0.6731321811676025,0.31714048981666565
0.656862735748291,,0.6402493119239807,,0.875,,0.912912905216217,,19,3459,0.7712562680244446,0.7145056128501892,0.2986392378807068,,,
,0.6717123985290527,,0.601360559463501,,0.8194444179534912,,0.8717948794364929,20,3632,,,,0.7410780787467957,0.6994732022285461,0.3080281913280487
0.6583541035652161,,0.6298729777336121,,0.8658227920532227,,0.9156626462936401,,20,3632,0.7674281597137451,0.7100688219070435,0.2987225353717804,,,
